id,text,classification,model_ai,prompt,created_at,updated_at,investment_target
19380,"Trump e Zelensky se encontram na Casa Branca na segunda-feira (18). O presidente dos EUA, Donald Trump, receberá o presidente da Ucrânia, Volodymyr Zelensky, na próxima segunda-feira (18), na Casa Branca, para a primeira reunião desde o início das novas negociações para encerrar a guerra. Trump e Zelensky apoiam a proposta de um encontro trilateral futuro com o presidente da Rússia, Vladimir Putin. Trump, que se reuniu com Putin na sexta-feira, disse que o líder russo mostrou disposição para um acordo, mas ressaltou que a solução depende da Ucrânia. Zelensky destacou a necessidade do envolvimento dos países europeus para garantir a segurança de longo prazo da Ucrânia.",NEUTRAL,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:49,,GENERICO
19381,"Após resultado do 2T25, Taesa (TAEE11) vai distribuir R$ 1,15 em dividendos e JCP; veja se vale a pena investir. A Taesa (TAEE11) divulgou resultados do 2T25 acima das expectativas, com receita de R$ 859 milhões e lucro líquido de R$ 299,4 milhões, além de anunciar o pagamento de proventos no mesmo valor. O analista Ruy Hungria, da Empiricus Research, manteve recomendação neutra para a ação, apesar dos bons resultados, devido a preocupações com o fim de concessões importantes e o potencial limitado de valorização. O analista sugere deixar a Taesa fora da carteira de dividendos neste momento, recomendando outras cinco ações para buscar proventos.",NEUTRAL,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:51,,GENERICO
19382,"Com menos crédito nos bancos, construtoras buscam outras formas de financiar obras. As construtoras estão diversificando as fontes de financiamento para empreendimentos imobiliários, recorrendo ao mercado de capitais, principalmente via emissão de Certificados de Recebíveis Imobiliários (CRIs) e Fundos de Investimento Imobiliário (FIIs), devido à queda de 54% no financiamento pela poupança no primeiro semestre de 2025. O volume do setor imobiliário no mercado de capitais cresceu 5% no período, impulsionado pelas taxas bancárias elevadas, apesar de as empresas menores terem mais dificuldade de acesso e algumas construtoras ainda preferirem o crédito bancário por facilitar o repasse aos clientes. Pesquisa da Brain/Abrainc indica que a maioria das incorporadoras tem enfrentado dificuldade crescente para obter crédito bancário e vê o mercado de capitais como uma solução em crescimento, mas com restrições de acesso devido ao nível de governança exigido.",NEUTRAL,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:52,,GENERICO
19383,"Caso Ultrafarma: Fazenda põe grupo de auditores para revisar processos de ICMS-ST. A Secretaria da Fazenda de São Paulo criou um grupo de trabalho para revisar processos de ressarcimento de ICMS-ST, núcleo de um esquema de corrupção liderado pelo auditor fiscal Artur Gomes da Silva Neto, preso na Operação Ícaro. O auditor é suspeito de receber propinas milionárias de grandes varejistas, como Ultrafarma e Fast Shop, usando a própria mãe como ""laranja"" para ocultar patrimônio. O objetivo da força-tarefa é mapear o alcance da fraude, identificar outros envolvidos e empresas beneficiadas, podendo resultar na anulação de procedimentos e autuações fiscais.",NEGATIVE,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:53,,GENERICO
19384,"Funcionários da OpenAI planejam vender US$ 6 bilhões em ações. Funcionários e ex-funcionários da OpenAI buscam vender cerca de US$ 6 bilhões em ações para investidores como SoftBank e Thrive Capital, o que avaliaria a empresa em aproximadamente US$ 500 bilhões. A potencial venda reflete o rápido crescimento da OpenAI, que dobrou sua receita anualizada para US$ 12 bilhões e projeta US$ 20 bilhões até o fim de 2025. O interesse na operação demonstra a valorização acelerada da criadora do ChatGPT e a intensa concorrência por talentos e participação no setor de inteligência artificial.",NEUTRAL,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:54,,GENERICO
19385,"Dólar acompanha exterior e volta a ficar abaixo de R$ 5,40 com encontro entre Trump e Putin no radar. O dólar à vista fechou em queda de 0,35%, a R$ 5,3980, seguindo a perda de força ante moedas globais e emergentes. A desvalorização da moeda americana foi impulsionada pela consolidação de apostas de corte nos juros do Federal Reserve em setembro e pela expectativa do encontro entre os presidentes Donald Trump e Vladimir Putin. Dados mistos de vendas no varejo e do sentimento do consumidor nos EUA não alteraram a expectativa majoritária de redução de 25 pontos-base na taxa de juros pelo Fed.",POSITIVE,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:55,,GENERICO
19386,"Sinal vermelho para o campo: Inadimplência rural dispara no Banco do Brasil (BBAS3) e expõe desafios do agro. O crescente endividamento do produtor rural configura uma crise no agronegócio, evidenciada pela alta de 4,21% no índice de inadimplência superior a 90 dias do Banco do Brasil. O setor precisa urgentemente reconhecer o problema e buscar uma agenda propositiva, unindo lideranças para ajustar políticas agrícolas e inovar em instrumentos de gestão de risco e linhas de crédito. A superação da crise exige prudência financeira, maior controle de custos pelo produtor e soluções flexíveis de renegociação por parte dos agentes financeiros, visando à solidez e competitividade do agro.",NEGATIVE,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:56,,GENERICO
19387,"Flamengo leva Brasil de volta ao ranking das marcas mais valiosas do futebol. O Flamengo é o clube mais valioso do futebol brasileiro, avaliado em US$ 121,2 milhões com crescimento de 21%, o que o coloca na 44ª posição global, liderada por Real Madrid e Barcelona. A intensa disputa das casas de apostas online por patrocínios elevou o valor de mercado de vários clubes, como Flamengo e Corinthians, mas 59% dos torcedores brasileiros afirmam que os clubes deveriam rejeitar esses patrocínios, apesar da alta taxa de envolvimento em apostas. O Palmeiras registrou queda de 12% em seu valor de marca, enquanto Botafogo e Fluminense tiveram valorização significativa após participarem do Mundial de Clubes da Fifa.",NEUTRAL,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:57,,GENERICO
19388,"De volta ao mercado de etanol: Petrobras (PETR4) avalia investimento na Raízen (RAIZ4), diz jornal. A Petrobras estuda investir na Raízen, joint venture da Cosan e Shell e uma das maiores produtoras de etanol do Brasil, como parte de sua estratégia de retorno ao setor, com decisão prevista para o fim de 2025. A estatal avalia a aquisição de participação na empresa ou a compra de ativos específicos, buscando uma presença relevante no mercado de etanol, mas precisa evitar conflito com a cláusula de não competição com a Vibra no setor de distribuição até 2029. A Cosan busca novos sócios para fortalecer o portfólio e reduzir seu endividamento, após registrar prejuízo de R$ 946 milhões no segundo trimestre.",NEUTRAL,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:34:58,,GENERICO
19389,"“Pix do Brics”: O que é o sistema de pagamentos e por que ele preocupa Trump. O Brics está acelerando a criação do ""Brics Pay"", um sistema próprio de liquidação financeira para permitir transferências mais rápidas, baratas e seguras entre os países do bloco, excluindo o uso do dólar. Apesar de não ser uma moeda única, a iniciativa, que pode usar blockchain e outras tecnologias, é vista como um movimento geopolítico para reduzir a dependência do dólar, o que tem gerado alerta nos Estados Unidos e reações de Donald Trump. O aumento de membros do Brics na 16ª Cúpula reforça o objetivo de maior força coletiva e menor dependência da moeda norte-americana.",NEUTRAL,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:35:00,,GENERICO
19390,"Café: Clima deve favorecer safra brasileira de 2026. A próxima safra brasileira de café, a ser colhida em 2026, deve ser beneficiada pela chegada antecipada das chuvas em setembro, proporcionando condições climáticas mais favoráveis para a florada e a continuidade das precipitações. A possível confirmação do fenômeno La Niña em novembro indica temperaturas mais amenas e uniformes, prometendo melhor produtividade e peso dos grãos, em contraste com a seca da safra anterior. Contudo, o aumento das chuvas pode gerar múltiplas floradas, o que representa um alerta para a qualidade do café.",POSITIVE,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:35:01,,GENERICO
19391,"Petróleo cai 1,5% com comerciantes de olho em negociações entre Trump e Putin. Os preços do petróleo caíram quase US$ 1 nesta sexta-feira, com o Brent fechando a US$ 65,85 e o WTI a US$ 62,80, devido à expectativa das negociações entre Donald Trump e Vladimir Putin no Alasca. Há expectativa de que a cúpula possa resultar em um cessar-fogo na Ucrânia e uma flexibilização das sanções à Rússia, o que seria visto como baixista para o petróleo. Além disso, dados econômicos mais fracos da China aumentaram as preocupações com a demanda global por combustível.",NEGATIVE,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:35:02,,GENERICO
19392,"Empiricus aponta ação ‘desconhecida’ de empresa gringa que pode valorizar até 15 vezes. A Empiricus Research está focando em uma pequena e desconhecida empresa de computação quântica, ligada ao avanço da inteligência artificial, que possui potencial de valorização de até 1.400% a partir de um evento-chave em 27 de agosto. Essa empresa será incluída na carteira ""IA Cash"", que busca ativos com alto potencial no setor de IA e já superou os índices S&P 500 e Nasdaq desde seu início. O nome da ação, que já registrou altas expressivas, será revelado exclusivamente aos assinantes do relatório da IA Cash.",NEUTRAL,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:35:03,,GENERICO
19393,"Hugo Motta envia pedidos de cassação de Eduardo Bolsonaro ao Conselho de Ética. O presidente da Câmara, Hugo Motta, encaminhou ao Conselho de Ética quatro representações do PT e PSOL que pedem a cassação do mandato do deputado Eduardo Bolsonaro por quebra de decoro. As representações acusam o parlamentar de atuar nos Estados Unidos contra instituições brasileiras, especialmente o STF, e de defender sanções norte-americanas ao Brasil. Com o envio, o Conselho de Ética sorteará e nomeará um relator, e Eduardo terá dez dias para apresentar sua defesa.",NEUTRAL,sabiazinho-4,"Você é um analista financeiro. Classifique o sentimento da notícia a seguir sobre o mercado financeiro brasileiro em uma das categorias: POSITIVO, NEGATIVO ou NEUTRO.

POSITIVO = a notícia tende a ser favorável ao investidor.
NEGATIVO = a notícia tende a ser desfavorável ao investidor.
NEUTRO = impacto irrelevante ou equilibrado (efeitos positivos e negativos se anulam).

Classifique cada notícia individualmente e forneça uma breve justificativa.

Exemplo de resposta:
{
    ""sentiment"": ""POSITIVO"",
    ""justify"": ""A notícia indica melhora nas condições do mercado.""
}
",2026-08-21 16:35:03,,GENERICO
